movieId,title,pageUrl,price
1,Toy Story (1995),https://www.amazon.com/Toy-Story-Tim-Allen/dp/B0094KTAEY/ref=sr_1_1?dchild=1&keywords=Toy+Story+1995&qid=1619359102&s=movies-tv&sr=1-1,19.99
3,Grumpier Old Men (1995),https://www.amazon.com/Grumpier-Old-Men-Jack-Lemmon/dp/B00AUOUG8W/ref=sr_1_1?dchild=1&keywords=Grumpier+Old+Men+1995&qid=1619359106&s=movies-tv&sr=1-1,12.99
4,Waiting to Exhale (1995),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_movies-tv_sr_pg1_1?ie=UTF8&adId=A04628882O8G5S747EVCD&url=%2FWaiting-Exhale-Heartbeats-Soulfood-Feature%2Fdp%2FB013LWX212%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DWaiting%2Bto%2BExhale%2B1995%26qid%3D1619359108%26s%3Dmovies-tv%26sr%3D1-1-spons%26psc%3D1%26smid%3DAB1108BA04GDD&qualifier=1619359108&id=2822520028417720&widgetName=sp_atf,19.99
6,Heat (1995),https://www.amazon.com/Heat-Michael-Mann/dp/B06XC1SNPT/ref=sr_1_1?dchild=1&keywords=Heat+1995&qid=1619359136&s=movies-tv&sr=1-1,14.99
7,Sabrina (1995),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_movies-tv_sr_pg1_1?ie=UTF8&adId=A0363128QOEBXGF3I0UK&url=%2FSabrina-Various%2Fdp%2FB00AEBB8YW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSabrina%2B1995%26qid%3D1619359138%26s%3Dmovies-tv%26sr%3D1-1-spons%26psc%3D1%26smid%3DAJ97UE7V18UQP&qualifier=1619359138&id=148706833771876&widgetName=sp_atf,10.4
8,Tom and Huck (1995),https://www.amazon.com/Tom-Huck-Jonathan-Taylor-Thomas/dp/B006G3CWL0/ref=sr_1_1?dchild=1&keywords=Tom+and+Huck+1995&qid=1619359141&s=movies-tv&sr=1-1,17.99
9,Sudden Death (1995),https://www.amazon.com/Sudden-Death-Jean-Claude-Van-Damme/dp/B002YH1ZWO/ref=sr_1_1?dchild=1&keywords=Sudden+Death+1995&qid=1619359144&s=movies-tv&sr=1-1,14.99
10,GoldenEye (1995),https://www.amazon.com/Goldeneye-Pierce-Brosnan-James-Bond/dp/B009GEH5NG/ref=sr_1_1?dchild=1&keywords=GoldenEye+1995&qid=1619359146&s=movies-tv&sr=1-1,13.99
11,"American President, The (1995)",https://www.amazon.com/American-President-Michael-Douglas/dp/6305236518/ref=sr_1_1?dchild=1&keywords=American+President%2C+The+1995&qid=1619359361&s=movies-tv&sr=1-1,13.0
12,Dracula: Dead and Loving It (1995),https://www.amazon.com/Dracula-Dead-Loving-Leslie-Nielsen/dp/B008RPJ2G8/ref=sr_1_1?dchild=1&keywords=Dracula%3A+Dead+and+Loving+It+1995&qid=1619359363&s=movies-tv&sr=1-1,12.99
13,Balto (1995),https://www.amazon.com/Balto-Bob-Hoskins/dp/B00PGWML9K/ref=sr_1_1?dchild=1&keywords=Balto+1995&qid=1619366957&s=movies-tv&sr=1-1,13.99
14,Nixon (1995),https://www.amazon.com/Nixon-Anthony-Hopkins/dp/B004JOVMDC/ref=sr_1_1?dchild=1&keywords=Nixon+1995&qid=1619359370&s=movies-tv&sr=1-1,17.99
15,Cutthroat Island (1995),https://www.amazon.com/Cutthroat-Island-Geena-Davis/dp/B000JIN3FM/ref=sr_1_2?dchild=1&keywords=Cutthroat+Island+1995&qid=1619366982&s=instant-video&sr=1-2,6.99
16,Casino (1995),https://www.amazon.com/Casino-Robert-Niro/dp/B0019IOZGC/ref=sr_1_1?dchild=1&keywords=Casino+1995&qid=1619359373&s=movies-tv&sr=1-1,13.99
17,Sense and Sensibility (1995),https://www.amazon.com/Sense-Sensibility-Hugh-Grant/dp/B0019TYQ38/ref=sr_1_1?dchild=1&keywords=Sense+and+Sensibility+1995&qid=1619359374&s=movies-tv&sr=1-1,12.99
19,Ace Ventura: When Nature Calls (1995),https://www.amazon.com/Ace-Ventura-When-Nature-Calls/dp/B07622H8GF/ref=sr_1_1?dchild=1&keywords=Ace+Ventura%3A+When+Nature+Calls+1995&qid=1619359377&s=movies-tv&sr=1-1,12.99
20,Money Train (1995),https://www.amazon.com/Money-Train-Wesley-Snipes/dp/B008GVSM82/ref=sr_1_1?dchild=1&keywords=Money+Train+1995&qid=1619359379&s=movies-tv&sr=1-1,12.99
21,Get Shorty (1995),https://www.amazon.com/GET-SHORTY-1995-DVD-COLLECTORS/dp/B01GWDZ134/ref=tmm_dvd_title_0?_encoding=UTF8&amp;qid=1619359381&amp;sr=1-1,17.36
22,Copycat (1995),https://www.amazon.com/Copycat-Sigourney-Weaver/dp/B004VFK5LO/ref=sr_1_1?dchild=1&keywords=Copycat+1995&qid=1619359384&s=movies-tv&sr=1-1,9.99
23,Assassins (1995),https://www.amazon.com/Assassins-Sylvester-Stallone/dp/B001OKJXK8/ref=sr_1_1?dchild=1&keywords=Assassins+1995&qid=1619359386&s=movies-tv&sr=1-1,9.99
24,Powder (1995),https://www.amazon.com/Powder-Mary-Steenburgen/dp/B004JP5DHW/ref=sr_1_1?dchild=1&keywords=Powder+1995&qid=1619359388&s=movies-tv&sr=1-1,17.99
25,Leaving Las Vegas (1995),https://www.amazon.com/Leaving-Las-Vegas-Nicolas-Cage/dp/B005QBBCMI/ref=sr_1_1?dchild=1&keywords=Leaving+Las+Vegas+1995&qid=1619359390&s=movies-tv&sr=1-1,5.99
26,Othello (1995),https://www.amazon.com/Othello-Kenneth-Branagh/dp/B0031NYH5C/ref=sr_1_1?dchild=1&keywords=Othello+1995&qid=1619359392&s=movies-tv&sr=1-1,5.99
